cheques checks
cheque check
plzz please
plz please
plss please
pls please
aftermat aftermath
bdy body
propoganda propaganda
thanful thankful
critize criticize
agonising agonizing
evrythng everythng
wht what
globa global
organizing
celebs celebrities
affeted affected
tommorow tomorrow
tommorrow tomorrow
tomorow tomorrow
tmrw tomorrow
srsly seriously
standng standing
wouldn would not
grey gray
nxt next
bcoz because
crores millions
ive i have
vilage village
goodnyt good night
stil still
sumbody somebody
pic picture
sadest saddest
evacs evacuations
evac evacuation
nhelp help
stmnt statement
complaing complaining
thinggy thing
thingy thing
anyday any day
thousnds thousands
thr there
amiright am i right
dec december
jan january
feb february
mar march
apr april
jun june
jul july
aug august
sep september
oct october
nov november
situatio situation
repnsblty responsibility
sleepp sleep
simplifi simplify
ocurri ocurring
unitednations united nations
pleged pledged
nyt night
evryone everyone
trajedy tragedy
goodmorning good morning
shortfilm short film
bcos because
evangalists evangelists
evangalist evangelist
summarised summarized
hlp help
askng asking
netwrking networking
operater operator
ryt right
desastres disasters
permision permission
thru through
urs yours
magnifi magnify
permant permanent
willbe will be
devided divided
rprtd reported
criticise criticize
everytym everytime
pliz please
managemnt management
hve have
drectly directly
diretor director
sadnes sadness
magnitud magnitude
neibourhood neighborhood
satelite satellite
potenially potentially
donateblood donate blood
offocial official
terrorised terrorized
stll still
accdg according
exsting existing
frm from
suspensons suspensions
humens humans
enrolment enrollment
immenent imminent
mobilised mobilized
leavez leaves
lovr lover
explosio explosion
emrgncy emergency
opned opened
annouced announced
orgs organizations
unfortunetly unfortunately
centr center
distruction destruction
diff different
threatend threatened
destrction destruction
internationl international
alot a lot
programme program
survivo survivor
catatastrophic catastrophic
communitis communities
rspnsibility responsibility
realising realizing
eveything everything
shltr shelter
inocent innocent
disengenuis disingenuous
conductd conduted
hepl help
hppen happen
hospitalised hospitalized
famalies families
suffring suffering
earthquacks earthquakes
weatha weather
gudluck good luck
heldhostage held hostage
millon million
abt about
evacuat evacuate
compansate compensate
do: do
creditd credited
ystdy yesterday
weknow we know
respons response
plagiarising plagiarizing
nkilling killing
nlives lives
mobilisation mobilization
suplies supplies
deserv deserve
terrorise terrorize
steped stepped
sumtimes sometimes
analysed analyzed
organisers organizers
organise organize
cudnt could not
apprx approximate
regrt regret
earthwuake earthquake
tonite tonight
waterbottles water bottles
thatve that have
unfinshed unfinished
injuried injuries
evacuatd evacuated
devasting devastating
crisi crisis
aftr after
whn when
infrustructure infrastructure
stp stop
recgnzed recognized
wth with
stayd stayed
spprt support
stongest strongest
neutralised neutralized
gettng getting
goverment government
govt government
govts governments
beutyfull beautiful
recognise recognize
tranformer transformer
vctms victims
apreciated appreciated
thankyou thank you
earthqueke earthquake
courtappearance court appearance
grt great
ofice office
threateni threatening
killd killed
masacre massacre
celeb celebrity
uncomprimised uncompromised
pariss paris
rscue rescue
rscu rescue
evacution evacuation
gona goin to 
gonna going to
shlter shelter
shltr shelter
hous house
livez lives
victms victims
everytime every time
traumatised traumatized
expres express
greatful grateful
occurence occurance
powerfu powerful
crisi crisis
tv television
urself yourself
magnitu magnitude
civilan civilian
rsponse response
flodds floods
violat violate
typhon typhoon
wrkng working
evryday everyday
thnx thanks
tym time
peopl people
evrything everything
celfone cellphone
thypoon typhoon
organisations organizations
organisation organization
paralyse paralyze
contry country
qstn question
pics pictures
devestating devastating
colours colors
colour color
frndz friends
peices pieces
thousan thousand
goodluck good luck
airlin airline
seperate separate
mrng morning
bcause because
gng going
realised realized
evrday everyday
hapoening happening
nver never
respondrs responders
millio million
dng doing
evacu evacuate
relationshps relationships
criticsm citicism
sitution situation
evrybdy everybody
mch much
billons billions
errbody everybody
sheltr shelter
organisation organization
worrid worried
typon typhoon
hastag hashtag
atleast at least
rpts reports
dffclt difficult
wat what
happend happened
schls schools
albrta alberta
astralia australia
austrlia australia
bstn boston
b4 before
abt about
b/c because
bgd background
bfn bye for now
btw by the way
